entry_ts,exit_ts,dir,entry,exit,type,pnl,month
2026-01-26 16:25:00,2026-01-27 20:20:32,SHORT,87835.82,89162.75,SL,-1.4882111644156204,2026-01
2026-01-29 15:00:00,2026-01-29 15:40:30,SHORT,87026.07,84840.99,TP,2.5755003566082957,2026-01
2026-01-29 16:35:00,2026-01-30 01:39:44,SHORT,84483.88,82348.06,TP,2.59364944359346,2026-01
2026-01-30 06:00:00,2026-01-30 18:59:07,SHORT,82909.67,84160.0,SL,-1.4856582699619758,2026-01
2026-01-30 20:10:00,2026-01-31 14:26:37,SHORT,83859.59,81717.91,TP,2.620820821286296,2026-01
2026-01-31 14:54:32,2026-01-31 17:10:21,SHORT,81393.99,79324.01,TP,2.609525161423387,2026-01
2026-02-10 13:05:00,2026-02-10 14:17:05,SHORT,68489.05,69518.7,SL,-1.4811122762652285,2026-02
2026-02-10 14:35:00,2026-02-11 04:41:52,SHORT,69141.36,67409.01,TP,2.5699086813468996,2026-02
2026-02-11 07:10:00,2026-02-11 14:03:05,SHORT,66766.0,67784.0,SL,-1.501829340257288,2026-02
2026-02-11 14:35:00,2026-02-11 15:08:29,SHORT,67673.65,65978.71,TP,2.5689195802706566,2026-02
2026-02-11 15:22:14,2026-02-11 19:07:56,SHORT,66528.0,67559.05,SL,-1.5261463860134272,2026-02
2026-02-11 20:30:00,2026-02-11 21:29:13,SHORT,67206.75,68222.24,SL,-1.4885028694455182,2026-02
2026-02-11 23:15:00,2026-02-12 13:58:08,SHORT,67318.01,68337.44,SL,-1.4917591294025812,2026-02
2026-02-15 23:05:00,2026-02-16 12:51:13,SHORT,68682.4,69719.99,SL,-1.4882245393322835,2026-02
2026-02-16 13:25:02,2026-02-16 15:32:50,SHORT,69243.21,67500.01,TP,2.5825181359232507,2026-02
2026-02-23 04:05:00,2026-02-23 07:05:09,SHORT,64918.76,65899.98,SL,-1.4889534109114977,2026-02
2026-02-23 08:05:00,2026-02-23 17:52:17,SHORT,65816.08,64166.67,TP,2.570508957376161,2026-02
2026-02-23 17:55:00,2026-02-24 04:18:28,SHORT,64497.54,62874.97,TP,2.5806294619305614,2026-02
2026-02-24 04:20:00,2026-02-24 15:24:21,SHORT,62975.4,63965.48,SL,-1.5478348634294647,2026-02
2026-02-24 16:35:00,2026-02-24 19:06:49,SHORT,63740.6,64702.0,SL,-1.485889153349207,2026-02
2026-02-24 19:13:38,2026-02-25 01:11:37,SHORT,64369.62,65405.86,SL,-1.5843228725988756,2026-02
2026-02-25 03:20:00,2026-02-25 13:49:36,SHORT,65577.87,66563.2,SL,-1.4802924138262563,2026-02
2026-02-27 20:05:00,2026-02-28 06:36:32,SHORT,65478.37,63822.12,TP,2.595103390485942,2026-02
2026-02-28 07:40:00,2026-02-28 13:59:16,SHORT,64208.75,65182.04,SL,-1.493187387200523,2026-02
2026-02-28 14:55:00,2026-02-28 17:58:41,SHORT,64432.82,65453.51,SL,-1.55941216903418,2026-02
2026-02-28 21:05:02,2026-02-28 22:36:46,SHORT,66555.21,67553.76,SL,-1.4781560641480063,2026-02
2026-02-28 23:50:00,2026-03-01 02:03:27,SHORT,67032.56,68045.52,SL,-1.4886505386394355,2026-02
2026-03-03 00:35:00,2026-03-03 05:48:57,LONG,68946.2,67908.45,SL,-1.5051590950625249,2026-03
2026-03-04 13:00:00,2026-03-04 15:54:04,LONG,71360.14,73172.19,TP,2.539302753610073,2026-03
2026-03-04 17:15:00,2026-03-04 23:30:46,LONG,73556.98,72449.14,SL,-1.5060977217933535,2026-03
2026-03-05 00:20:00,2026-03-05 07:53:18,LONG,72899.97,71805.83,SL,-1.5008785325974716,2026-03
2026-03-05 08:35:00,2026-03-05 16:08:35,LONG,72076.75,70952.19,SL,-1.560225731598608,2026-03
2026-03-05 16:23:00,2026-03-06 12:07:22,LONG,71110.97,70036.44,SL,-1.5110608110113,2026-03
2026-03-08 00:05:00,2026-03-08 22:12:55,SHORT,67388.9,65691.36,TP,2.5841145624021067,2026-03
2026-03-08 22:16:20,2026-03-09 03:08:43,SHORT,66145.15,67154.3,SL,-1.5027332575873853,2026-03
2026-03-09 05:00:00,2026-03-09 09:32:43,SHORT,67141.43,68157.52,SL,-1.4907966134918182,2026-03
2026-03-09 09:55:42,2026-03-09 13:43:45,SHORT,68044.76,69076.64,SL,-1.493819039258426,2026-03
2026-03-09 14:10:00,2026-03-10 02:30:37,SHORT,68755.34,69810.05,SL,-1.5108283119694144,2026-03
2026-03-10 03:05:00,2026-03-11 12:08:26,LONG,70048.31,68995.91,SL,-1.5023917065236758,2026-03
2026-03-13 12:25:00,2026-03-13 16:21:41,LONG,72438.6,71294.0,SL,-1.5800967992203097,2026-03
2026-03-13 16:55:00,2026-03-13 17:57:47,LONG,72043.58,70924.09,SL,-1.553906677041872,2026-03
2026-03-13 19:50:00,2026-03-15 22:52:50,LONG,71169.71,73012.49,TP,2.58927569045877,2026-03
2026-03-15 22:55:00,2026-03-16 13:41:49,LONG,72680.88,74509.51,TP,2.515971188020827,2026-03
2026-03-16 13:45:00,2026-03-17 01:12:38,LONG,74068.94,75932.99,TP,2.516641928452068,2026-03
2026-03-17 01:15:00,2026-03-17 03:31:22,LONG,75838.14,74698.87,SL,-1.5022388471025327,2026-03
2026-03-20 00:05:00,2026-03-20 04:07:53,SHORT,69839.05,70890.27,SL,-1.482883335047247,2026-03
2026-03-20 04:35:00,2026-03-21 23:56:48,SHORT,70649.6,68878.1,TP,2.5719350562805943,2026-03
2026-03-22 07:08:28,2026-03-22 21:19:41,SHORT,69180.01,67449.84,TP,2.565120984719904,2026-03
2026-03-22 21:20:00,2026-03-22 23:12:57,SHORT,67430.36,68443.62,SL,-1.4804301701166533,2026-03
2026-03-22 23:50:00,2026-03-23 11:05:21,SHORT,67942.61,68964.58,SL,-1.4818766387035165,2026-03
2026-03-24 00:00:00,2026-03-24 14:13:04,LONG,70905.37,69828.74,SL,-1.5184040362528073,2026-03
2026-03-27 00:05:00,2026-03-27 10:38:39,SHORT,68790.01,67009.92,TP,2.656457431974246,2026-03
2026-03-27 10:40:00,2026-03-29 22:45:14,SHORT,66984.09,65307.55,TP,2.5671457587981727,2026-03
2026-04-02 12:00:00,2026-04-02 16:40:09,SHORT,66224.22,67231.42,SL,-1.498109068646769,2026-04
2026-04-04 15:11:00,2026-04-05 22:57:03,SHORT,67267.2,68284.69,SL,-1.490070468211846,2026-04
2026-04-06 02:05:00,2026-04-07 14:06:48,LONG,68942.35,67906.26,SL,-1.5028353399615946,2026-04
2026-04-08 00:05:00,2026-04-08 14:55:20,LONG,71908.95,70830.08,SL,-1.5003278451430568,2026-04
2026-04-08 17:00:00,2026-04-09 01:08:15,LONG,71608.99,70520.01,SL,-1.520730846783358,2026-04
2026-04-09 01:35:00,2026-04-09 21:06:50,LONG,70812.0,72598.78,TP,2.523272891600281,2026-04
2026-04-13 20:00:00,2026-04-14 13:42:13,LONG,73325.34,75202.09,TP,2.5594835291592233,2026-04
2026-04-14 13:45:00,2026-04-14 18:47:05,LONG,75187.4,74000.01,SL,-1.5792406706442774,2026-04
2026-04-14 19:30:00,2026-04-17 09:28:16,LONG,74160.34,76098.75,TP,2.613809483613494,2026-04
2026-04-17 16:10:00,2026-04-18 08:16:32,LONG,77868.14,76698.01,SL,-1.5027070121361619,2026-04
2026-04-18 10:06:56,2026-04-19 07:07:00,LONG,76423.96,75259.18,SL,-1.5241031739261057,2026-04
2026-04-20 20:25:00,2026-04-21 17:16:44,LONG,76446.32,75296.05,SL,-1.5046767457217114,2026-04
2026-04-21 17:40:02,2026-04-22 02:57:08,LONG,75643.44,77539.99,TP,2.5072233626604046,2026-04
2026-04-22 08:05:00,2026-04-27 15:21:49,LONG,78056.11,76812.29,SL,-1.5934947309057645,2026-04
2026-04-29 12:10:00,2026-04-29 15:10:00,LONG,77467.99,76305.53,SL,-1.50056817015648,2026-04
2026-05-01 10:16:36,2026-05-02 21:37:54,LONG,77208.23,79164.55,TP,2.5338231429473446,2026-05
2026-05-02 21:40:00,2026-05-05 02:45:03,LONG,78880.14,80875.0,TP,2.5289762416750294,2026-05
2026-05-05 02:50:00,2026-05-06 11:17:33,LONG,80558.26,82585.87,TP,2.5169486034082755,2026-05
2026-05-06 11:20:00,2026-05-06 14:06:24,LONG,82528.92,81287.42,SL,-1.504321151906507,2026-05
2026-05-06 14:30:42,2026-05-07 13:46:01,LONG,81696.75,80469.05,SL,-1.5027525574762723,2026-05
2026-05-10 09:05:00,2026-05-13 13:46:03,LONG,80898.02,79680.17,SL,-1.5054138531449879,2026-05
2026-05-14 16:00:00,2026-05-15 13:04:07,LONG,81318.4,80088.02,SL,-1.5130400991657411,2026-05
2026-05-16 00:46:14,2026-05-17 23:41:22,SHORT,79150.31,77168.0,TP,2.568823864814429,2026-05
2026-05-18 01:25:00,2026-05-19 22:50:00,SHORT,76958.77,76755.39,EOD,0.2649716195826768,2026-05
